2025-12-19 00:57:10,101 [INFO] ArvynConfig: Configuration loaded. Logging initialized.
2025-12-19 00:57:10,101 [INFO] ArvynConfig: Gemini API Key loaded successfully.
2025-12-19 01:35:32,495 | ArvynCore | INFO | ArvynBrain initialized with model: gemini-3-pro-preview
2025-12-19 01:35:32,520 | comtypes | DEBUG | CoInitializeEx(None, 2)
2025-12-19 01:35:32,581 | comtypes.client._code_cache | INFO | Could not import comtypes.gen, trying to create it.
2025-12-19 01:35:32,582 | comtypes.client._code_cache | INFO | Created comtypes.gen directory: 'C:\Users\gaash\AppData\Local\Programs\Python\Python310\lib\site-packages\comtypes\gen'
2025-12-19 01:35:32,582 | comtypes.client._code_cache | INFO | Writing __init__.py file: 'C:\Users\gaash\AppData\Local\Programs\Python\Python310\lib\site-packages\comtypes\gen\__init__.py'
2025-12-19 01:35:32,604 | comtypes.client._code_cache | INFO | Using writeable comtypes cache directory: 'C:\Users\gaash\AppData\Local\Programs\Python\Python310\lib\site-packages\comtypes\gen'
2025-12-19 01:35:32,608 | comtypes.client._create | DEBUG | SAPI.SpVoice -> {96749377-3391-11D2-9EE3-00C04F797396}
2025-12-19 01:35:32,609 | comtypes.client._create | DEBUG | CoCreateInstance({96749377-3391-11D2-9EE3-00C04F797396}, clsctx=None, interface=None)
2025-12-19 01:35:32,623 | comtypes.client._managing | DEBUG | GetBestInterface(<POINTER(IUnknown) ptr=0x1dd7ba67180 at 1dd02b10f40>)
2025-12-19 01:35:32,624 | comtypes.client._managing | DEBUG | Does implement IProvideClassInfo
2025-12-19 01:35:32,629 | comtypes.client._managing | DEBUG | Default interface is {269316D8-57BD-11D2-9EEE-00C04F797396}
2025-12-19 01:35:32,629 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(IUnknown) ptr=0x1dd7ba671c0 at 1dd02b11540>
2025-12-19 01:35:32,630 | comtypes.client._generate | DEBUG | GetModule(TLIBATTR(GUID={C866CA3A-32F7-11D2-9602-00C04F8EE628}, Version=5.4, LCID=0, FLags=0x8))
2025-12-19 01:35:32,630 | comtypes.client._generate | INFO | Could not import comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4: No module named 'comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4'
2025-12-19 01:35:32,636 | comtypes.client._generate | INFO | # Generating comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4
2025-12-19 01:35:32,638 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328c20 at 1dd02b12740>
2025-12-19 01:35:32,640 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328c20 at 1dd02b12740>
2025-12-19 01:35:32,640 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd0131b868 at 1dd02b11f40>
2025-12-19 01:35:32,640 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328c78 at 1dd02b11d40>
2025-12-19 01:35:32,640 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11cc0>
